Filepath,Id
train/042.Vermilion_Flycatcher/Vermilion_Flycatcher_0031_42201.jpg,1
train/112.Great_Grey_Shrike/Great_Grey_Shrike_0048_106754.jpg,2
train/195.Carolina_Wren/Carolina_Wren_0019_186527.jpg,3
train/011.Rusty_Blackbird/Rusty_Blackbird_0033_6879.jpg,4
train/131.Vesper_Sparrow/Vesper_Sparrow_0040_125441.jpg,5
train/159.Black_and_white_Warbler/Black_And_White_Warbler_0074_160361.jpg,6
train/051.Horned_Grebe/Horned_Grebe_0078_34799.jpg,7
train/061.Heermann_Gull/Heermann_Gull_0020_45409.jpg,8
train/152.Blue_headed_Vireo/Blue_Headed_Vireo_0107_156111.jpg,9
train/180.Wilson_Warbler/Wilson_Warbler_0108_175179.jpg,10
train/163.Cape_May_Warbler/Cape_May_Warbler_0124_163037.jpg,11
train/163.Cape_May_Warbler/Cape_May_Warbler_0044_163055.jpg,12
train/031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0092_795313.jpg,13
train/192.Downy_Woodpecker/Downy_Woodpecker_0132_184408.jpg,14
train/099.Ovenbird/Ovenbird_0070_93140.jpg,15
train/076.Dark_eyed_Junco/Dark_Eyed_Junco_0071_67426.jpg,16
train/148.Green_tailed_Towhee/Green_Tailed_Towhee_0099_154882.jpg,17
train/083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0107_73265.jpg,18
train/134.Cape_Glossy_Starling/Cape_Glossy_Starling_0099_129412.jpg,19
train/171.Myrtle_Warbler/Myrtle_Warbler_0026_166680.jpg,20
train/143.Caspian_Tern/Caspian_Tern_0116_145607.jpg,21
train/062.Herring_Gull/Herring_Gull_0001_48205.jpg,22
train/165.Chestnut_sided_Warbler/Chestnut_Sided_Warbler_0038_164354.jpg,23
train/014.Indigo_Bunting/Indigo_Bunting_0054_12213.jpg,24
train/177.Prothonotary_Warbler/Prothonotary_Warbler_0038_173867.jpg,25
train/052.Pied_billed_Grebe/Pied_Billed_Grebe_0029_35551.jpg,26
train/147.Least_Tern/Least_Tern_0131_153983.jpg,27
train/111.Loggerhead_Shrike/Loggerhead_Shrike_0088_105663.jpg,28
train/182.Yellow_Warbler/Yellow_Warbler_0095_176202.jpg,29
train/073.Blue_Jay/Blue_Jay_0076_61817.jpg,30
train/184.Louisiana_Waterthrush/Louisiana_Waterthrush_0053_795241.jpg,31
train/110.Geococcyx/Geococcyx_0038_104266.jpg,32
train/063.Ivory_Gull/Ivory_Gull_0108_49356.jpg,33
train/186.Cedar_Waxwing/Cedar_Waxwing_0072_178058.jpg,34
train/132.White_crowned_Sparrow/White_Crowned_Sparrow_0002_127774.jpg,35
train/184.Louisiana_Waterthrush/Louisiana_Waterthrush_0068_177462.jpg,36
train/172.Nashville_Warbler/Nashville_Warbler_0020_167198.jpg,37
train/036.Northern_Flicker/Northern_Flicker_0086_28360.jpg,38
train/050.Eared_Grebe/Eared_Grebe_0039_34257.jpg,39
train/182.Yellow_Warbler/Yellow_Warbler_0101_176864.jpg,40
train/155.Warbling_Vireo/Warbling_Vireo_0083_158284.jpg,41
train/088.Western_Meadowlark/Western_Meadowlark_0115_77882.jpg,42
train/088.Western_Meadowlark/Western_Meadowlark_0029_78832.jpg,43
train/062.Herring_Gull/Herring_Gull_0037_48655.jpg,44
train/082.Ringed_Kingfisher/Ringed_Kingfisher_0005_73086.jpg,45
train/199.Winter_Wren/Winter_Wren_0127_190091.jpg,46
